Date,Price,Open,High,Low,Vol.,Change %
"Jan 04, 2012",726.99,727.22,731.54,725.16,684.66K,1.20%
"Jan 05, 2012",727.12,726.45,730.39,723.50,827.35K,0.02%
"Jan 06, 2012",725.69,725.00,728.96,723.79,798.07K,-0.20%
"Jan 09, 2012",732.21,723.76,732.21,723.13,718.55K,0.90%
"Jan 10, 2012",738.13,734.53,740.07,733.90,882.74K,0.81%
"Jan 11, 2012",736.14,737.61,742.21,735.56,704.69K,-0.27%
"Jan 12, 2012",735.88,737.54,739.45,734.33,610.05K,-0.04%
"Jan 13, 2012",730.40,735.45,736.95,727.55,743.62K,-0.74%
"Jan 16, 2012",724.43,725.57,726.47,722.68,519.17K,-0.82%
"Jan 17, 2012",740.03,729.48,740.03,728.30,680.14K,2.15%
"Jan 18, 2012",735.37,739.61,741.74,735.29,910.77K,-0.63%
"Jan 19, 2012",740.60,740.50,742.82,736.36,712.54K,0.71%
"Jan 20, 2012",739.56,742.19,743.13,737.58,648.33K,-0.14%
"Jan 23, 2012",741.67,739.92,744.98,739.21,382.16K,0.29%
"Jan 24, 2012",742.95,744.26,748.81,742.95,769.60K,0.17%
"Jan 25, 2012",736.69,745.71,746.25,735.99,514.00K,-0.84%
"Jan 26, 2012",745.81,740.54,746.52,740.10,549.61K,1.24%
"Jan 27, 2012",752.18,748.94,753.48,746.86,833.57K,0.85%
"Jan 30, 2012",750.95,751.83,755.36,749.14,1.26M,-0.16%
"Jan 31, 2012",757.45,755.00,757.45,749.26,822.47K,0.87%
"Feb 01, 2012",759.16,756.55,760.08,753.02,1.79M,0.23%
"Feb 02, 2012",763.40,763.43,769.03,762.25,1.21M,0.56%
"Feb 03, 2012",768.96,765.41,769.42,761.94,1.07M,0.73%
"Feb 06, 2012",765.82,774.30,775.68,765.82,935.42K,-0.41%
"Feb 07, 2012",770.95,767.68,772.13,764.11,982.84K,0.67%
"Feb 08, 2012",783.39,776.32,787.15,776.21,1.40M,1.61%
"Feb 09, 2012",784.72,784.24,787.65,779.31,1.26M,0.17%
"Feb 10, 2012",781.21,783.17,787.10,779.57,815.65K,-0.45%
"Feb 13, 2012",784.08,782.79,786.57,781.09,762.89K,0.37%
"Feb 14, 2012",776.12,781.86,787.35,773.24,1.24M,-1.02%
"Feb 15, 2012",791.85,782.11,793.21,782.11,2.05M,2.03%
"Feb 16, 2012",787.13,790.17,792.38,784.75,1.36M,-0.60%
"Feb 17, 2012",794.86,796.21,797.02,789.13,1.15M,0.98%
"Feb 20, 2012",800.22,799.60,801.66,796.53,1.40M,0.67%
"Feb 21, 2012",803.66,802.46,806.04,799.97,1.02M,0.43%
"Feb 22, 2012",801.59,806.61,809.71,801.38,5.85B,-0.26%
"Feb 23, 2012",803.61,802.97,805.36,795.03,976.32M,0.25%
"Feb 24, 2012",808.27,806.13,809.32,804.66,698.35M,0.58%
"Feb 27, 2012",799.19,809.13,810.04,797.64,701.40M,-1.12%
"Feb 28, 2012",807.69,801.04,807.69,798.49,612.98M,1.06%
"Feb 29, 2012",818.78,810.78,818.78,810.29,1.09B,1.37%
"Mar 01, 2012",821.96,817.39,823.20,815.57,1.40B,0.39%
"Mar 02, 2012",821.18,825.27,827.85,820.56,1.14B,-0.09%
"Mar 05, 2012",814.68,818.90,819.58,813.77,753.75M,-0.79%
"Mar 06, 2012",810.79,812.25,816.16,808.54,771.01M,-0.48%
"Mar 08, 2012",823.07,813.49,823.07,813.21,1.51B,1.51%
"Mar 09, 2012",814.89,824.41,824.94,814.89,1.91B,-0.99%
"Mar 12, 2012",807.65,817.53,820.02,804.49,1.18B,-0.89%
"Mar 13, 2012",809.97,812.13,813.09,802.71,1.37B,0.29%
"Mar 14, 2012",818.14,817.35,820.98,813.18,1.02B,1.01%
"Mar 15, 2012",823.39,819.82,826.05,819.41,1.34B,0.64%
"Mar 16, 2012",838.44,827.74,838.44,824.71,1.92B,1.83%
"Mar 19, 2012",837.93,843.59,847.87,837.93,1.73B,-0.06%
"Mar 20, 2012",843.65,838.32,846.73,837.67,1.03B,0.68%
"Mar 21, 2012",852.14,843.18,852.14,840.23,1.72B,1.01%
"Mar 22, 2012",839.22,851.41,857.00,839.22,2.57B,-1.52%
"Mar 23, 2012",841.76,840.48,844.12,830.10,1.17B,0.30%
"Mar 26, 2012",836.77,842.99,845.08,835.96,745.17M,-0.59%
"Mar 27, 2012",852.25,848.14,852.25,844.45,817.76M,1.85%
"Mar 28, 2012",849.51,849.47,853.53,845.67,679.89M,-0.32%
"Mar 29, 2012",849.34,844.82,850.73,841.55,716.13M,-0.02%
"Mar 30, 2012",842.91,850.32,851.94,840.46,855.68M,-0.76%
"Apr 02, 2012",843.87,842.04,847.13,841.08,448.47M,0.11%
"Apr 03, 2012",853.51,848.26,855.38,848.01,703.85M,1.14%
"Apr 04, 2012",843.26,851.28,853.32,843.26,706.34M,-1.20%
"Apr 05, 2012",831.74,841.62,842.45,827.91,760.32M,-1.37%
"Apr 10, 2012",819.57,825.28,826.57,813.38,697.78M,-1.46%
"Apr 11, 2012",810.76,812.25,816.09,808.06,834.39M,-1.07%
"Apr 12, 2012",821.45,813.41,821.45,813.41,469.12M,1.32%
"Apr 17, 2012",813.00,829.87,829.87,809.76,640.06M,-1.03%
"Apr 18, 2012",818.87,820.89,823.27,815.60,632.29M,0.72%
"Apr 19, 2012",832.66,820.58,832.82,819.07,652.36M,1.68%
"Apr 20, 2012",839.45,832.12,840.17,830.04,974.84M,0.82%
"Apr 23, 2012",834.68,842.38,844.61,832.56,1.47B,-0.57%
"Apr 24, 2012",842.26,838.06,842.26,834.69,885.59M,0.91%
"Apr 25, 2012",842.33,843.33,845.64,838.72,854.77M,0.01%
"Apr 26, 2012",848.32,843.86,851.26,843.86,799.37M,0.71%
"Apr 27, 2012",850.11,850.31,852.48,844.54,531.96M,0.21%
"Apr 30, 2012",863.82,855.09,863.82,854.89,852.67M,1.61%
"May 02, 2012",871.94,869.58,873.64,867.86,811.38M,0.94%
"May 03, 2012",872.75,872.92,879.50,869.33,1.08B,0.09%
"May 04, 2012",861.93,872.66,872.66,861.01,1.15B,-1.24%
"May 08, 2012",864.17,856.98,865.44,854.85,1.16B,0.26%
"May 09, 2012",845.27,858.92,860.91,845.27,1.62B,-2.19%
"May 10, 2012",832.43,840.01,840.65,828.49,1.77B,-1.52%
"May 11, 2012",833.65,830.00,836.72,823.56,1.88B,0.15%
"May 14, 2012",815.21,833.13,840.65,810.36,1.18B,-2.21%
"May 15, 2012",830.41,814.32,830.41,810.58,733.55M,1.86%
"May 16, 2012",820.40,815.94,820.40,805.66,1.10B,-1.21%
"May 17, 2012",821.87,821.96,826.24,815.84,967.99M,0.18%
"May 18, 2012",806.71,809.48,811.97,802.61,853.76M,-1.84%
"May 21, 2012",790.73,805.20,806.19,790.73,684.29M,-1.98%
"May 22, 2012",786.06,799.42,801.47,786.06,633.52M,-0.59%
"May 23, 2012",770.17,781.38,783.73,768.13,725.48M,-2.02%
"May 24, 2012",783.86,770.89,783.86,764.09,1.18B,1.78%
"May 25, 2012",786.87,777.80,788.69,774.76,534.89M,0.38%
"May 28, 2012",791.76,784.10,791.78,778.90,444.42M,0.62%
"May 29, 2012",802.16,792.07,804.46,791.87,846.98M,1.31%
"May 30, 2012",789.62,795.05,797.18,788.76,534.02M,-1.56%
"May 31, 2012",791.54,781.04,794.48,777.33,780.57M,0.24%
"Jun 01, 2012",772.39,787.71,789.73,772.39,604.79M,-2.42%
"Jun 05, 2012",761.66,776.13,778.32,761.66,610.65M,-1.39%
"Jun 06, 2012",775.60,770.26,780.37,769.41,462.02M,1.83%
"Jun 07, 2012",777.14,785.73,789.06,773.83,647.80M,0.20%
"Jun 08, 2012",783.68,774.90,783.68,771.36,415.09M,0.84%
"Jun 11, 2012",807.94,796.74,807.94,796.74,731.09M,3.10%
"Jun 12, 2012",810.66,799.98,810.66,797.65,614.08M,0.34%
"Jun 13, 2012",806.51,811.33,813.62,801.63,551.38M,-0.51%
"Jun 14, 2012",801.72,802.48,810.85,801.37,1.15B,-0.59%
"Jun 15, 2012",812.56,808.25,816.37,807.13,1.53B,1.35%
"Jun 18, 2012",809.88,822.50,824.79,807.17,952.50M,-0.33%
"Jun 19, 2012",816.90,812.14,816.90,808.36,890.24M,0.87%
"Jun 20, 2012",816.68,814.80,818.61,812.40,457.66M,-0.03%
"Jun 21, 2012",804.89,809.94,811.07,802.90,495.01M,-1.44%
"Jun 22, 2012",800.07,797.53,800.07,793.75,786.74M,-0.60%
"Jun 25, 2012",795.68,798.85,803.97,795.68,693.87M,-0.55%
"Jun 26, 2012",798.51,795.05,801.32,794.04,429.00M,0.36%
"Jun 27, 2012",809.75,802.93,810.75,802.23,572.35M,1.41%
"Jun 28, 2012",814.02,813.42,819.99,805.27,604.24M,0.53%
"Jun 29, 2012",814.38,817.78,826.08,814.38,784.50M,0.04%
"Jul 02, 2012",827.40,824.57,828.45,821.44,571.40M,1.60%
"Jul 03, 2012",834.48,831.33,835.09,829.15,645.07M,0.86%
"Jul 04, 2012",830.48,837.86,838.44,827.47,860.24M,-0.48%
"Jul 05, 2012",836.15,829.59,836.15,826.64,676.01M,0.68%
"Jul 06, 2012",833.94,835.87,838.23,827.32,565.29M,-0.26%
"Jul 09, 2012",823.21,826.92,827.88,822.77,425.89M,-1.29%
"Jul 10, 2012",837.67,824.61,837.67,823.34,496.40M,1.76%
"Jul 11, 2012",840.61,834.49,842.10,833.29,574.22M,0.35%
"Jul 12, 2012",828.66,836.13,838.29,828.60,466.41M,-1.42%
"Jul 13, 2012",841.59,829.53,843.68,829.53,449.09M,1.56%
"Jul 16, 2012",843.80,843.33,848.33,840.48,552.35M,0.26%
"Jul 17, 2012",851.44,850.34,852.27,847.69,816.70M,0.91%
"Jul 18, 2012",846.80,849.29,851.39,843.38,799.32M,-0.54%
"Jul 19, 2012",840.77,853.39,853.64,838.53,993.56M,-0.71%
"Jul 20, 2012",836.99,843.54,845.50,834.19,565.89M,-0.45%
"Jul 23, 2012",818.43,820.99,825.41,817.16,590.24M,-2.22%
"Jul 24, 2012",819.59,817.53,823.96,815.93,521.17M,0.14%
"Jul 25, 2012",820.13,818.42,821.06,812.57,602.19M,0.07%
"Jul 26, 2012",808.79,824.12,826.23,808.42,639.03M,-1.38%
"Jul 27, 2012",812.36,821.21,821.64,808.90,743.96M,0.44%
"Jul 30, 2012",824.48,816.32,824.48,815.85,417.65M,1.49%
"Jul 31, 2012",828.67,828.66,829.16,820.84,704.21M,0.51%
"Aug 01, 2012",829.10,826.78,830.29,824.39,775.77M,0.05%
"Aug 03, 2012",825.47,823.69,826.99,816.83,912.02M,-0.44%
"Aug 06, 2012",833.52,832.44,834.92,828.51,617.58M,0.98%
